rank,artist,song,release_year,gender,decade
100,Rascal Flatts,“Bless the Broken Road”,2004,Group,2000
99,LeAnn Rimes,“Blue”,1996,Female,1990
98,Eric Church,“Drink in My Hand”,2011,Male,2010
97,Skeeter Davis,“The End of the World”,1963,Female,1960
96,Old Crow Medicine Show,“Wagon Wheel”,2004,Group,2000
95,Lee Greenwood,“God Bless the U.S.A.”,1984,Male,1980
94,Tom T. Hall,"(Old Dogs, Children and) Watermelon Wine",1972,Male,1970
93,Morgan Wallen,“Whiskey Glasses”,2018,Male,2010
92,The Chicks,“Goodbye Earl”,2000,Group,2000
91,Kacey Musgraves,“Follow Your Arrow”,2013,Female,2010
90,Deana Carter,“Strawberry Wine”,1996,Female,1990
89,Martina McBride,“Independence Day”,1993,Female,1990
88,DeFord Bailey,“Pan American Blues”,2015,Male,2010
87,Lady A,“Need You Now”,2009,Group,2000
86,Lee Ann Womack feat. Sons of the Desert,“I Hope You Dance”,2000,Group,2000
85,Vince Gill,“Go Rest High on That Mountain”,1995,Male,1990
84,Alan Jackson,“Where Were You ”,2001,Male,2000
83,Little Big Town,“Girl Crush”,2014,Group,2010
82,Dwight Yoakam,“Guitars,1986,Male,1980
81,Conway Twitty & Loretta Lynn,“Louisiana Woman,1973,Group,1970
80,Hank Williams Jr.,“Family Tradition”,1979,Male,1970
79,Bob Wills,“San Antonio Rose”,1960,Male,1960
78,Sam Hunt,“Body Like a Back Road”,2017,Male,2010
77,Eddy Arnold,“Make the World Go Away“,1965,Male,1960
76,Emmylou Harris,“Boulder to Birmingham”,1975,Female,1970
75,Toby Keith,“Should’ve Been a Cowboy”,1993,Male,1990
74,David Allan Coe,“You Never Even Called Me By My Name”,1975,Male,1970
73,Merle Haggard and Willie Nelson,“Pancho and Lefty“,1983,Group,1980
72,Tanya Tucker,“Delta Dawn”,1972,Female,1970
71,Trisha Yearwood,“The Song Remembers When”,1993,Female,1990
70,Brad Paisley feat. Alison Krauss,“Whiskey Lullaby”,2004,Group,2000
69,Loretta Lynn,“The Pill”,1975,Female,1970
68,Charlie Rich,“Behind Closed Doors“,1973,Male,1970
67,Tim McGraw,“Live Like You Were Dying”,2004,Male,2000
66,Freddy Fender,“Before the Next Teardrop Falls”,1975,Male,1970
65,Ray Price,“For the Good Times“,1970,Male,1970
64,Roy Acuff,“Wabash Cannonball”,1947,Male,1940
63,Ronnie Milsap,“Smoky Mountain Rain”,1980,Male,1980
62,Waylon Jennings,“Luckenbach,1977,Male,1970
61,John Denver,“Take Me Home,1971,Male,1970
60,Vern Gosdin,“Chiseled in Stone”,1988,Male,1980
59,Brooks & Dunn,“Boot Scootin’ Boogie”,1991,Group,1990
58,Webb Pierce,“There Stands the Glass”,1953,Male,1950
57,Jamey Johnson,“In Color”,2008,Male,2000
56,Nitty Gritty Dirt Band,“Fishin’ in the Dark”,1987,Group,1980
55,George Strait,“The Chair”,1985,Male,1980
54,Kenny Rogers & Dolly Parton,“Islands in the Stream”,1984,Group,1980
53,Buck Owens,“Act Naturally”,1963,Male,1960
52,Johnny Cash and June Carter Cash,“Jackson”,2017,Group,2010
51,Kris Kristofferson,“Me and Bobby McGee”,1970,Male,1970
50,Hank Williams,“Lovesick Blues”,1950,Male,1950
49,Kitty Wells,“It Wasn’t God Who Made Honky Tonk Angels”,1952,Female,1950
48,Patsy Cline,“I Fall to Pieces”,1961,Female,1960
47,The Highwaymen,“Highwayman”,1985,Female,1980
46,Alabama,“Mountain Music”,1982,Group,1980
45,Eddie Rabbitt,“Drivin’ My Life Away”,1980,Male,1980
44,Conway Twitty,“Hello Darlin’”,1970,Male,1970
43,The Judds,“Why Not Me”,1984,Group,1980
42,Jimmie Rodgers,“Blue Yodel No. 1 ”,1928,Male,1920
41,Glen Campbell,“Rhinestone Cowboy”,1975,Male,1970
40,Alan Jackson,“Chattahoochee”,1993,Male,1990
39,Don Williams,“Good Ole Boys Like Me”,1979,Male,1970
38,Chris Stapleton,“Tennessee Whiskey”,2015,Male,2010
37,Shania Twain,“Man! I Feel Like a Woman!”,1999,Female,1990
36,Keith Whitley,“I’m No Stranger to the Rain”,1989,Male,1980
35,Carrie Underwood,“Before He Cheats”,2005,Female,2000
34,Ray Charles,“You Don’t Know Me”,1962,Male,1960
33,Faron Young,“Hello Walls”,1961,Male,1960
32,Willie Nelson & Waylon Jennings,“Mammas Don’t Let Your Babies Grow Up to Be Cowboys”,2015,Group,2010
31,Dolly Parton,“I Will Always Love You”,1973,Female,1970
30,Miranda Lambert,“The House That Built Me”,2010,Female,2010
29,Bobbie Gentry,“Ode to Billie Joe”,1967,Female,1960
28,George Jones,“The Race Is On”,1964,Male,1960
27,The Chicks,“Wide Open Spaces”,1998,Group,1990
26,Roger Miller,“King of the Road”,1965,Male,1960
25,Garth Brooks,“The Dance”,1989,Male,1980
24,Ernest Tubb,“Walking the Floor Over You”,1941,Male,1940
23,Reba McEntire,“Fancy”,1991,Female,1990
22,Merle Haggard,“If We Make It Through December”,1973,Male,1970
21,Charlie Daniels,“The Devil Went Down to Georgia”,1979,Male,1970
20,Johnny Cash,“Ring of Fire”,1963,Male,1960
19,Hank Williams,“Your Cheatin’ Heart”,1953,Male,1950
18,Randy Travis,“Forever and Ever,1987,Male,1980
17,George Strait,“Amarillo by Morning”,1983,Male,1980
16,Lefty Frizzell,“Long Black Veil”,1959,Male,1950
15,Kenny Rogers,“The Gambler”,1978,Male,1970
14,Glen Campbell,“Wichita Lineman”,1968,Male,1960
13,Charley Pride,“Kiss an Angel Good Mornin’”,1971,Male,1970
12,Marty Robbins,“El Paso”,1957,Male,1950
11,Merle Haggard,“Mama Tried”,1968,Male,1960
10,Tammy Wynette,“Stand By Your Man”,1968,Female,1960
9,Garth Brooks,“Friends in Low Places”,1990,Male,1990
8,The Carter Family,“Can the Circle Be Unbroken”,1935,Group,1930
7,Loretta Lynn,“Coal Miner’s Daughter”,1970,Female,1970
6,Hank Williams,“I’m So Lonesome I Could Cry”,1949,Male,1940
5,Johnny Cash,“I Walk the Line”,1956,Male,1950
4,George Jones,“He Stopped Loving Her Today”,1980,Male,1980
3,Willie Nelson,“On the Road Again”,1980,Male,1980
2,Patsy Cline,“Crazy”,1961,Female,1960
1,Dolly Parton,“Jolene”,1973,Female,1970
